"type","value","source"
"domain","ac-connection-status105.azurewebsites.net","public"
"domain","acc-cloud-connection.azurewebsites.net","public"
"domain","active-az-check-status45.azurewebsites.net","public"
"domain","active-az-check-status675.azurewebsites.net","public"
"domain","active-az-status45.azurewebsites.net","public"
"domain","active-az-status795.azurewebsites.net","public"
"domain","active-internal-log65.azurewebsites.net","public"
"domain","active-internal-logs.azurewebsites.net","public"
"domain","active-intranet-logs.azurewebsites.net","public"
"domain","airplaneserviceticketings.com","public"
"domain","automationagencybusiness.azurewebsites.net","public"
"domain","automationagencybusiness.com","public"
"domain","bookingconfirm.icu","public"
"domain","clients.brendns.workers.dev","public"
"domain","codesparkle.eastus.cloudapp.azure.com","public"
"domain","com-simple-reserve.my","public"
"domain","confirm-id65853044.com","public"
"domain","confirmation-id44082.com","public"
"domain","confirmation-id91662.com","public"
"domain","connect-acc-492.azurewebsites.net","public"
"domain","connect-acl-492.azurewebsites.net","public"
"domain","day701.com","public"
"domain","developercodepro.azurewebsites.net","public"
"domain","developercodevista.azurewebsites.net","public"
"domain","dreamtiniventures.azurewebsites.net","public"
"domain","fdtsprobusinesssolutions.azurewebsites.net","public"
"domain","fdtsprobusinesssolutions.com","public"
"domain","fdtsprobusinesssolutions.eastus.cloudapp.azure.com","public"
"domain","fdtsprobusinesssolutions.northeurope.cloudapp.azure.com","public"
"domain","hserbhh43.westus3.cloudapp.azure.com","public"
"domain","intra-az-check-status45.azurewebsites.net","public"
"domain","intra-az-check-status675.azurewebsites.net","public"
"domain","intra-az-status45.azurewebsites.net","public"
"domain","intra-az-status795.azurewebsites.net","public"
"domain","jarzoda.net","public"
"domain","jsdelivrs.com","public"
"domain","mso-internal-log65.azurewebsites.net","public"
"domain","mso-internal-logs.azurewebsites.net","public"
"domain","mso-intranet-logs.azurewebsites.net","public"
"domain","n34kr3z26f3jzp4ckmwuv5ipqyatumdxhgjgsmucc65jac56khdy5zqd.onion","public"
"domain","nx425-win4945.azurewebsites.net","public"
"domain","nx4542-win4957.azurewebsites.net","public"
"domain","nxlog-crash-1567.azurewebsites.net","public"
"domain","nxlog-win-1567.azurewebsites.net","public"
"domain","nxversion-win-1567.azurewebsites.net","public"
"domain","nxversion-win32-1127.azurewebsites.net","public"
"domain","octoberinforoom.com","public"
"domain","queuetestapplication.azurewebsites.net","public"
"domain","roller.johallow.workers.dev","public"
"domain","skychain13424.azurewebsites.net","public"
"domain","skychain41334.northeurope.cloudapp.azure.com","public"
"domain","skychains42745.eastus.cloudapp.azure.com","public"
"domain","skyticketgrant.azurewebsites.net","public"
"domain","snare-core.azurewebsites.net","public"
