Type,Value,Source
SHA256,0b679027e38f3d9ca554085be0e762c651e83e6414401b56635cdf3765ca1dac,AnyDesk
SHA256,0ce7badb26174b6129fb13d7e255e582f84d8aaedeabcd02c80d84a609144068,PCHunter
SHA256,1433aa8210b287b8d463d958fc9ceeb913644f550919cfb2c62370773799e5a5,Vulnerable driver (wktools.sys)
SHA256,1588023393eb6b4d9433d539d303ecb56b6c3630e860f94d1a137834bdedf2bd,PCHunter
SHA256,205818e10c13d2e51b4c0196ca30111276ca1107fc8e25a0992fe67879eab964,Remote DesktopPassView
SHA256,207b11f7dc4f17e4e5a9c25dbfb6a785a7456d7c381ecea7c729d8d924be1fb9,PCHunter
SHA256,274ca13168b38590c230bddc2d606bbe8c26de8a6d79156a6c7d07265efe0fdf,PCHunter
SHA256,2b214bddaab130c274de6204af6dba5aeec7433da99aa950022fa306421a6d32,PCHunter
SHA256,35f28a31a47b0bcd92722265473d66ffef6c4bd460c71c36b57df2ac0d02f671,MalExtractor
SHA256,396aa1f8f308010a3c76a53965d0eddd35e41176eacd1194745d9542239ca8dc,Uploader
SHA256,4a44d0c6cf5de515dd296f05ff6674d1a340fccf6b4c11612d27be2d3baa82b0,PCHunter
SHA256,4adbb1906762c757764ffc5fa64af96e091966f4f5a43aae12fcc4f05f1c26b5,StpProcess Monitor BYOVD
SHA256,598555a7e053c7456ee8a06a892309386e69d473c73284de9bbc0ba73b17e70a,Dialup Pass
SHA256,5be325905df8aab7089ab2348d89343f55a2f88dadd75de8f382e8fa026451bd,MailPassView
SHA256,6688fb3039ad6df606d76a897ef1072cdc78b928335c6bfa691d99498caf5c4b,Mimikatz
SHA256,6bac99f56e54d5195783513ae6954a4a8509d7bc397c94f405266b5df9cd96cb,ParsVbs
SHA256,6ce228240458563d73c1c3cbbd04ef15cb7c5badacc78ce331848f5431b406cc,HRSword
SHA256,72fc3d03065922b9a03774bbd1873e5e7f3a5a2abf5dcf7bfb2e98aceed53a9d,AnyDesk
SHA256,73cd405b5bfc99ec5cf33467d4be7fc7e39ae18337568ee10173c17ba6e8f0d7,AnyDesk
SHA256,771de264c5d7e1e5ac85f00c42e9fe3b439bcbd4f9aa11e4fd7bc0d87fa2344e,MalExtractor
SHA256,7a313840d25adf94c7bf1d17393f5b991ba8baf50b8cacb7ce0420189c177e26,MessengerPass
SHA256,816d7616238958dfe0bb811a063eb3102efd82eff14408f5cab4cb5258bfd019,VNCPassView
SHA256,87bf4b152d9548f415f12f353f988b5442729e7f24e2902ddfd0baa4a944354a,DumpGuard
SHA256,8a2f4907159a68867b22bc772590ebcafcfa656a23951228ecd89e4f598472b0,DumpGuard
SHA256,b066ca2702853c2fcbf686897c18f6d315be7ae753007ac2c1d73c87b0a30de9,PowerRun
SHA256,b3774ba01a3096348fd76a7072407b9f07bb9589e0f5ba31ca576689bbbe94e4,HRSword
SHA256,c41216eee9756a1dcc546df4fe97defc05513eed64ce6ac05f1501b50e6f96cc,WebBrowserPassView
SHA256,c64964944b4c1f649ae8f694964b3a212dc1028341ab71836306a456fba0b3f4,Vulnerable driver (ke64.sys)
SHA256,c7d994eb2042633172bd8866c9f163be531444ce3126d5f340edd25cbdb473d4,NetScan
SHA256,d4339a5b9d15211dbc85424cf7fa8ff825033ea3378506d8ecb19b016db5b4ff,YDark
SHA256,d833e8fc97b3c865ebfb96a48da9ec446148cb5ad7e66ca5c47cd693f7923888,AnyDesk
SHA256,df5a574254637d2880633b0582e956b23f66efc6781e825c65e1ccfaa6c58809,StartBat
SHA256,e8a3e804a96c716a3e9b69195db6ffb0d33e2433af871e4d4e1eab3097237173,Gmer
SHA256,eee885e5dae750848d0903d179cacd81149ceecec83c2ec4ad4545531de3cfdf,HRSwordExtractor
SHA256,f27eab3157451e31db71169e71f76d28325193218f9dc8f421136d4a20165feb,WKTools
SHA256,48f3d66492a494965e7039079158e2fee552aaab517d1a55352209c9eedcb765,Suspicious file
SHA256,49a7b3cf426d1f35a2138c0a6cec397688d223d7f2bcbbeed53b511a328a97be,CommandTxt
SHA256,647b2f12486343fe065dc4abbb11e2338589eb099c72792b5a05e64a5e2937fc,YDarkDriver
SHA256,6c31dd44b29b5f87030caececc616cf366badeff5a7e4c9933aa5fa6445a0c7a,Suspicious file
SHA256,99c4775ed813f354c9e53f42797226d82b26f44d19e81036c9e55222d1744189,HRSword
SHA256,a18555c1ca53d4826191a30889d82205a304932f997baec755c98ddad4326cb8,Suspicious file
SHA256,f5390674f0f49fe8af116396828c3de6729347ebc3c772d87618e55629aec06c,YDark
IP:Port,163.172.105.82:1080,Exfiltration C2 server
